央视(电信),#genre#
佛山影视,http://125.93.111.69:8888/rtp/239.253.43.51:5146
佛山影视,http://222.125.242.74:8888/rtp/239.253.43.51:5146
佛山影视,http://113.65.9.2:4014/rtp/239.253.43.51:5146
佛山影视,http://113.65.9.28:4014/rtp/239.253.43.51:5146
佛山影视,http://113.65.9.140:4014/rtp/239.253.43.51:5146
卫视(电信),#genre#
广东卫视,http://61.146.189.245:8888/rtp/239.77.0.84:5146
广东卫视,http://120.237.116.125:8888/rtp/239.77.0.84:5146
广东卫视,http://120.238.99.51:8888/rtp/239.77.0.84:5146
广东卫视,http://125.93.111.69:8888/rtp/239.77.0.84:5146
广东卫视,http://222.125.242.74:8888/rtp/239.77.0.84:5146
广东卫视,http://113.65.9.2:4014/rtp/239.77.0.84:5146
广东卫视,http://113.65.9.28:4014/rtp/239.77.0.84:5146
广东卫视,http://113.65.9.140:4014/rtp/239.77.0.84:5146
大湾区卫视,http://61.146.189.245:8888/rtp/239.77.0.215:5146
大湾区卫视,http://120.237.116.125:8888/rtp/239.77.0.215:5146
大湾区卫视,http://120.238.99.51:8888/rtp/239.77.0.215:5146
大湾区卫视,http://125.93.111.69:8888/rtp/239.77.0.215:5146
大湾区卫视,http://222.125.242.74:8888/rtp/239.77.0.215:5146
大湾区卫视,http://113.65.9.2:4014/rtp/239.77.0.215:5146
大湾区卫视,http://113.65.9.28:4014/rtp/239.77.0.215:5146
大湾区卫视,http://113.65.9.140:4014/rtp/239.77.0.215:5146
深圳卫视,http://61.146.189.245:8888/rtp/239.77.1.21:5146
深圳卫视,http://120.237.116.125:8888/rtp/239.77.1.21:5146
深圳卫视,http://120.238.99.51:8888/rtp/239.77.1.21:5146
深圳卫视,http://125.93.111.69:8888/rtp/239.77.1.21:5146
深圳卫视,http://222.125.242.74:8888/rtp/239.77.1.21:5146
深圳卫视,http://113.65.9.2:4014/rtp/239.77.1.21:5146
深圳卫视,http://113.65.9.28:4014/rtp/239.77.1.21:5146
深圳卫视,http://113.65.9.140:4014/rtp/239.77.1.21:5146
湖南卫视,http://61.146.189.245:8888/rtp/239.77.1.29:5146
湖南卫视,http://120.237.116.125:8888/rtp/239.77.1.29:5146
湖南卫视,http://120.238.99.51:8888/rtp/239.77.1.29:5146
湖南卫视,http://125.93.111.69:8888/rtp/239.77.1.29:5146
湖南卫视,http://222.125.242.74:8888/rtp/239.77.1.29:5146
湖南卫视,http://113.65.9.2:4014/rtp/239.77.1.29:5146
湖南卫视,http://113.65.9.28:4014/rtp/239.77.1.29:5146
湖南卫视,http://113.65.9.140:4014/rtp/239.77.1.29:5146
浙江卫视,http://61.146.189.245:8888/rtp/239.77.1.32:5146
浙江卫视,http://120.237.116.125:8888/rtp/239.77.1.32:5146
浙江卫视,http://120.238.99.51:8888/rtp/239.77.1.32:5146
浙江卫视,http://125.93.111.69:8888/rtp/239.77.1.32:5146
浙江卫视,http://222.125.242.74:8888/rtp/239.77.1.32:5146
浙江卫视,http://113.65.9.2:4014/rtp/239.77.1.32:5146
浙江卫视,http://113.65.9.28:4014/rtp/239.77.1.32:5146
浙江卫视,http://113.65.9.140:4014/rtp/239.77.1.32:5146
江苏卫视,http://61.146.189.245:8888/rtp/239.77.1.40:5146
江苏卫视,http://120.237.116.125:8888/rtp/239.77.1.40:5146
江苏卫视,http://120.238.99.51:8888/rtp/239.77.1.40:5146
江苏卫视,http://125.93.111.69:8888/rtp/239.77.1.40:5146
江苏卫视,http://222.125.242.74:8888/rtp/239.77.1.40:5146
江苏卫视,http://113.65.9.2:4014/rtp/239.77.1.40:5146
江苏卫视,http://113.65.9.28:4014/rtp/239.77.1.40:5146
江苏卫视,http://113.65.9.140:4014/rtp/239.77.1.40:5146
东方卫视,http://61.146.189.245:8888/rtp/239.77.1.48:5146
东方卫视,http://120.237.116.125:8888/rtp/239.77.1.48:5146
东方卫视,http://120.238.99.51:8888/rtp/239.77.1.48:5146
东方卫视,http://125.93.111.69:8888/rtp/239.77.1.48:5146
东方卫视,http://222.125.242.74:8888/rtp/239.77.1.48:5146
东方卫视,http://113.65.9.2:4014/rtp/239.77.1.48:5146
东方卫视,http://113.65.9.28:4014/rtp/239.77.1.48:5146
东方卫视,http://113.65.9.140:4014/rtp/239.77.1.48:5146
安徽卫视,http://61.146.189.245:8888/rtp/239.77.1.13:5146
安徽卫视,http://120.237.116.125:8888/rtp/239.77.1.13:5146
安徽卫视,http://120.238.99.51:8888/rtp/239.77.1.13:5146
安徽卫视,http://125.93.111.69:8888/rtp/239.77.1.13:5146
安徽卫视,http://222.125.242.74:8888/rtp/239.77.1.13:5146
安徽卫视,http://113.65.9.2:4014/rtp/239.77.1.13:5146
安徽卫视,http://113.65.9.28:4014/rtp/239.77.1.13:5146
安徽卫视,http://113.65.9.140:4014/rtp/239.77.1.13:5146
北京卫视,http://61.146.189.245:8888/rtp/239.77.1.14:5146
北京卫视,http://120.237.116.125:8888/rtp/239.77.1.14:5146
北京卫视,http://120.238.99.51:8888/rtp/239.77.1.14:5146
北京卫视,http://125.93.111.69:8888/rtp/239.77.1.14:5146
北京卫视,http://222.125.242.74:8888/rtp/239.77.1.14:5146
北京卫视,http://113.65.9.2:4014/rtp/239.77.1.14:5146
北京卫视,http://113.65.9.28:4014/rtp/239.77.1.14:5146
北京卫视,http://113.65.9.140:4014/rtp/239.77.1.14:5146
天津卫视,http://61.146.189.245:8888/rtp/239.77.1.37:5146
天津卫视,http://120.237.116.125:8888/rtp/239.77.1.37:5146
天津卫视,http://120.238.99.51:8888/rtp/239.77.1.37:5146
天津卫视,http://125.93.111.69:8888/rtp/239.77.1.37:5146
天津卫视,http://222.125.242.74:8888/rtp/239.77.1.37:5146
天津卫视,http://113.65.9.2:4014/rtp/239.77.1.37:5146
天津卫视,http://113.65.9.28:4014/rtp/239.77.1.37:5146
天津卫视,http://113.65.9.140:4014/rtp/239.77.1.37:5146
山东卫视,http://61.146.189.245:8888/rtp/239.77.1.66:5146
山东卫视,http://120.237.116.125:8888/rtp/239.77.1.66:5146
山东卫视,http://120.238.99.51:8888/rtp/239.77.1.66:5146
山东卫视,http://125.93.111.69:8888/rtp/239.77.1.66:5146
山东卫视,http://222.125.242.74:8888/rtp/239.77.1.66:5146
山东卫视,http://113.65.9.2:4014/rtp/239.77.1.66:5146
山东卫视,http://113.65.9.28:4014/rtp/239.77.1.66:5146
山东卫视,http://113.65.9.140:4014/rtp/239.77.1.66:5146
江西卫视,http://61.146.189.245:8888/rtp/239.77.1.73:5146
江西卫视,http://120.237.116.125:8888/rtp/239.77.1.73:5146
江西卫视,http://120.238.99.51:8888/rtp/239.77.1.73:5146
江西卫视,http://125.93.111.69:8888/rtp/239.77.1.73:5146
江西卫视,http://222.125.242.74:8888/rtp/239.77.1.73:5146
江西卫视,http://113.65.9.2:4014/rtp/239.77.1.73:5146
